"שם האירוע","מועד האירוע","מיקום האירוע","כמות כרטיסים שהוקצו","כמות כרטיסים שנמכרו","סה""כ מכירות בש""ח","סה""כ החזרים בש""ח","סה""כ עמלות בש""ח","סה""כ למוכר בש""ח","סה""כ מזומן"
"ספיידרמן מימד הכביש 28/1","28.01.2019 21:00","אולם 5",250,25,293,0,4.16,99.84,189
"גלימת השופט 28/1","28.01.2019 21:30","אולם 6",250,1,0,0,0,0,0
"סיפור אחר 29/1","29.01.2019 21:00","אולם 5",250,18,226,0,4.68,112.32,109
"מדינת הגמדים 29/1","29.01.2019 21:30","אולם 6",250,3,28,0,1.12,26.88,0
"חיות הפלא: הפשעים של גרינוולד 30/1","30.01.2019 21:00","אולם 5",250,14,105,0,3.36,80.64,21
"גלימת השופט 30/1","30.01.2019 21:30","אולם 6",250,1,0,0,0,0,0
"סיפור אחר 31/1","31.01.2019 21:00","אולם 5",250,4,14,0,0,0,14
"מדינת הגמדים 31/1","31.01.2019 21:30","אולם 6",250,0,0,0,0,0,0
"ספיידרמן: מימד העכביש 2/1","02.02.2019 21:30","אולם 5",250,28,350,0,5.36,128.64,216
"גלימת השופט 2/2","02.02.2019 22:00","אולם 6",250,4,0,0,0,0,0
"ראלף שובר את האינטרנט 3/2","03.02.2019 21:00","אולם 6",250,14,0,0,0,0,0
"בחזרה לבורגנדי 3/2","03.02.2019 21:30","אולם 6",250,2,0,0,0,0,0
"אל דאגה הוא לא יגיע רחוק ברגל 4/2","04.02.2019 21:00","אולם 6",250,8,63,0,1.68,40.32,21
"ראלף שובר את האינטרנט 4/2","04.02.2019 21:30","אולם 6",250,11,100,0,0,0,100
"ראלף שובר את האינטרנט 5/2","05.02.2019 21:00","אולם 6",250,24,83,0,0,0,83
"אל דאגה הוא לא יגיע רחוק ברגל 5/2","05.02.2019 21:30","אולם 6",250,6,75,0,2,48,25
"אל דאגה הוא לא יגיע רחוק ברגל 13/2","05.02.2019 21:30","אולם 6",250,0,0,0,0,0,0
"ראלף שובר את האינטרנט 6/2","06.02.2019 21:00","אולם 6",250,12,178,0,4.2,100.8,73
"בחסרה לבורגנדי 6/2","06.02.2019 21:30","אולם 6",250,4,0,0,0,0,0
"אקוומן 7.2","07.02.2019 21:00","אולם 5",250,36,389,0,6.84,164.16,218
"אל דאגה הוא לא יגיע רחוק ברגל 7/2","07.02.2019 21:30","אולם 6",250,2,0,0,0,0,0
"אקוומן 9/2","09.02.2019 21:30","אולם 5",250,22,92,0,2,48,42
"בחזרה לבורגנדי 9/2","09.02.2019 22:00","אולם 6",250,0,0,0,0,0,0
"אקוומן 10.2","10.02.2019 21:00","אולם 5",250,14,63,0,2.52,60.48,0
"אל דאגה הוא לא יגיע רחוק ברגל 10/2","10.02.2019 21:30","אולם 6",250,4,0,0,0,0,0
"גדולה מהחיים 11/2","11.02.2019 21:00","אולם 5",250,14,56,0,0.84,20.16,35
"האיש שבקיר 11/2","11.02.2019 21:30","אולם 6",250,3,63,0,1.68,40.32,21
"אקוומן 12/2","12.02.2019 21:00","אולם 5",250,25,168,0,5.04,120.96,42
"האיש שבקיר 12/2","12.02.2019 21:30","אולם 6",250,0,0,0,0,0,0
"אקוומן 13/2","13.02.2019 21:00","אולם 5",250,10,142,0,2.84,68.16,71
"אל דאגה הוא לא יגיע רחוק ברגל 13/2","13.02.2019 21:30","אולם 6",250,2,0,0,0,0,0
"גדולה מהחיים 14/2","14.02.2019 21:00","אולם 5",250,8,142,0,4,96,42
"האיש שבקיר 14/2","14.02.2019 21:30","אולם 6",250,3,0,0,0,0,0
"אל דאגה הוא לא רחוק ברגל 16/2","16.02.2019 21:30","אולם 6",250,0,196,181.8,7.84,6.36,0
"גדולה מהחיים 16/2","16.02.2019 22:00","אולם 5",250,2,0,0,0,0,0
"מכירת מנויים- סמסטר ב' תשע""ט","24.02.2019 01:00","קולנוע נגטיב",5000,15,1672,0,58.48,1403.52,210
"רפסודיה בוהמית 24/2","24.02.2019 21:00","אולם 5",250,37,329,0,8.56,205.44,115
"קשר קטלני 24/2","24.02.2019 21:30","אולם 6",250,0,0,0,0,0,0
"רפסודיה בוהמית 25/2","25.02.2019 21:00","אולם 5",250,57,732,0,21.4,513.6,197
"קשר קלטני 25/2","25.02.2019 21:30","אולם 6",250,5,42,0,0,0,42
"רפסודיה בוהמית 26/2","26.02.2019 21:00","אולם 5",250,77,1075,0,25.04,600.96,449
"הפרפר 26/2","26.02.2019 21:30","אולם 6",250,2,0,0,0,0,0
"רפסודיה בוהמית 27/2","27.02.2019 21:00","אולם 5",250,52,695,0,23.04,552.96,119
"קשר קטלני 27/2","27.02.2019 21:30","אולם 6",250,2,0,0,0,0,0
"רפסודיה בוהמית 28/2","28.02.2019 21:00","אולם 5",250,19,355,0,7.2,172.8,175
"הפרפר 28/2","28.02.2019 21:30","אולם 6",250,1,0,0,0,0,0
"הפרפר 2/3","02.03.2019 21:30","אולם 6",250,6,0,0,0,0,0
"קשר קטלני 2/3","02.03.2019 22:00","אולם 6",250,2,0,0,0,0,0
"תא מרצ וקולנוע נגטיב מציגים: קינג ביבי  3/2","03.03.2019 20:30","אולם 6",265,265,2310,27,88.8,2104.2,90
"מבוסס על סיפור אמיתי 3.3","03.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
"ילד מחוק 4/3","04.03.2019 21:00","אולם 5",250,1,0,0,0,0,0
"הבית עם השעון המסתורי 4/3","04.03.2019 21:30","אולם 6",250,5,0,0,0,0,0
"אתה מת רק פעמיים! 5/3","05.03.2019 20:30","אולם 6",250,28,240,0,3.6,86.4,150
"מבוסס על סיפור אמיתי 5/3","05.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
"ילד מחוק 6/3","06.03.2019 21:00","אולם 5",250,7,92,0,1.68,40.32,50
"הבית עם השעון המסתורי 6/3","06.03.2019 21:00","אולם 6",250,5,50,0,2,48,0
"ילד מחוק 7/3","07.03.2019 21:00","אולם 5",250,4,0,0,0,0,0
"הבית עם השעון המסתורי 7/3","07.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
"מבוסס על סיפור אמיתי 9/3","09.03.2019 21:30","אולם 6",250,3,0,0,0,0,0
"הבית עם השעון המסתורי 9/3","09.03.2019 22:00","אולם 6",250,0,0,0,0,0,0
"30 קמ""ש! 10/3","10.03.2019 20:30","אולם 6",250,30,140,0,3.6,86.4,50
"טובת הילד 10/3","10.03.2019 21:00","אולם 6",250,3,0,0,0,0,0
"פתאום משפחה 11/3","11.03.2019 21:00","אולם 5",250,12,84,0,1.68,40.32,42
"טובת הילד 11/3","11.03.2019 21:30","אולם 6",250,10,138,0,5.52,132.48,0
"ד""ר האוס VS. פרופ' שיינר! 12/10","12.03.2019 20:30","אולם 6",250,59,0,0,0,0,0
"ד""ר האוס VS.  פרופ' שיינר 12/3","12.03.2019 20:30","אולם 6",250,178,0,0,0,0,0
"פתאום משפחה 12.3","12.03.2019 21:00","אולם 5",250,14,126,0,1.68,40.32,84
"Home 13/3","13.03.2019 18:30","אולם 6",250,25,0,0,0,0,0
"פתאום משפחה 14/3","14.03.2019 21:00","אולם 5",250,4,0,0,0,0,0
"טובת הילד 14/3","14.03.2019 21:30","אולם 6",250,2,0,0,0,0,0
"פתאום משפחה 16/3","16.03.2019 21:30","אולם 5",250,8,21,0,0,0,0
"טובת הילד 16/3","16.03.2019 22:00","אולם 6",250,2,0,0,0,0,0
"רפסודיה בוהמית 17/3","17.03.2019 21:00","אולם 5",250,36,606,0,18.08,433.92,154
"רוחות קרות 17/3","17.03.2019 21:30","אולם 6",250,4,0,0,0,0,0
"רפסודיה בוהמית 21/3","21.03.2019 21:00","אולם 5",250,0,0,0,0,0,0
"רוחות קרות 21/3","21.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
"רפסודיה בוהמית 23/3","23.03.2019 21:30","אולם 5",250,23,278,0,10.72,257.28,10
"רוחות קרות 23/3","23.03.2019 22:00","אולם 6",250,3,39,0,0,0,39
"דרך האבות 24/3 סרט ושיחה","24.03.2019 20:30","אולם 6",250,26,160,0,3.6,86.4,70
"האוקיינוס שבנינו 24/3","24.03.2019 21:00","אולם 6",250,4,0,0,0,0,0
"סיפור אחר 25/3","25.03.2019 21:00","אולם 5",250,28,499,0,13.92,334.08,151
"האוקיינוס שבינינו 25/3","25.03.2019 21:30","אולם 6",250,0,0,0,0,0,0
