22:10:55.366 INFO  CinemaSystem - createDailyReport - User does not have proper permissions 
22:11:02.792 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
22:11:02.792 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
22:11:02.792 INFO  CinemaSystem - createDailyReport - User does not have proper permissions 
22:11:14.266 INFO  ServiceLayer - The registration process failed - the yuval exists on the system. 
22:11:14.271 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
22:11:14.271 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
22:11:14.271 INFO  CinemaSystem - register - The following data provided is invalid: Permission  
22:11:15.507 INFO  CinemaSystem - addMovieOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.512 INFO  CinemaSystem - addMovieOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.513 INFO  CinemaSystem - addMovieOrder - User does not have proper permissions 
22:11:15.525 INFO  CinemaSystem - removeOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.526 INFO  CinemaSystem - removeOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.526 INFO  CinemaSystem - removeOrder - User does not have proper permissions 
22:11:15.532 INFO  CinemaSystem - addMovieOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.532 INFO  CinemaSystem - addMovieOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.532 INFO  CinemaSystem - addMovieOrder - User does not have proper permissions 
22:11:15.533 INFO  CinemaSystem - removeOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.533 INFO  CinemaSystem - removeOrder - The operation cannot be completed - the user is not connected to the system 
22:11:15.533 INFO  CinemaSystem - removeOrder - User does not have proper permissions 
22:11:17.021 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.024 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.024 INFO  CinemaSystem - addMovie - User does not have proper permissions 
22:11:17.029 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.029 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.030 INFO  CinemaSystem - editMovie - User does not have proper permissions 
22:11:17.031 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.031 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.032 INFO  CinemaSystem - removeMovie - User does not have proper permissions 
22:11:17.033 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.033 INFO  CinemaSystem - addMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.033 INFO  CinemaSystem - addMovie - User does not have proper permissions 
22:11:17.033 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.033 INFO  CinemaSystem - editMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.033 INFO  CinemaSystem - editMovie - User does not have proper permissions 
22:11:17.033 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.033 INFO  CinemaSystem - removeMovie - The operation cannot be completed - the user is not connected to the system 
22:11:17.034 INFO  CinemaSystem - removeMovie - User does not have proper permissions 
22:11:17.351 INFO  CinemaSystem - getReport - The operation cannot be completed - the user is not connected to the system 
22:11:17.351 INFO  CinemaSystem - getReport - The operation cannot be completed - the user is not connected to the system 
22:11:17.351 INFO  CinemaSystem - getReport - User does not have proper permissions 
22:11:19.336 INFO  ServiceLayer - The logout process failed - the yubal isn't exists on the system. 
22:11:19.342 INFO  ServiceLayer - The logout process failed - the yubal isn't exists on the system. 
22:11:19.344 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
22:11:19.344 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
22:11:19.349 INFO  User - logout - The user yuval tried to disconnect but was not connected in the first place. 
22:11:20.824 INFO  User - login - Incorrect user name(yubal) or password (123456)  
22:11:20.825 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
22:11:20.825 INFO  User - login - The yuval already connected 
22:11:20.832 INFO  User - login - Incorrect user name(yubal) or password (123456)  
22:11:20.832 INFO  User - login - Incorrect user name(yuval) or password (wrongPassword)  
22:11:20.832 INFO  User - login - The yuval already connected 
22:11:20.836 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
22:11:20.842 INFO  ServiceLayer - The login process failed - the yubal isn't exists on the system. 
22:11:22.002 INFO  EmployeeManagemnt- editEmployee - The -1 already exist 
22:11:22.007 INFO  CinemaSystem - editEmployee - The operation cannot be completed - the user is not connected to the system 
22:11:22.011 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
22:11:22.014 INFO  ServiceLayer - editEmployee - The addNewEmployee process failed - the -1 not exists on the system. 
22:11:22.015 INFO  CinemaSystem - editEmployee - The operation cannot be completed - the user is not connected to the system 
22:11:22.059 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
22:11:22.059 INFO  CinemaSystem - createDailyReport - The operation cannot be completed - the user is not connected to the system 
22:11:22.059 INFO  CinemaSystem - createDailyReport - User does not have proper permissions 
22:11:23.177 INFO  CinemaSystem - deleteEmployee - A user cannot erase himself 
22:11:23.179 INFO  CinemaSystem - deleteEmployee - User does not have proper permissions 
22:11:23.185 INFO  ServiceLayer - deleteEmployee - The deleteEmployee process failed - the dummy not exists on the system. 
22:11:23.185 INFO  ServiceLayer - The deleteEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
22:11:23.187 INFO  EmployeeManagemnt- deleteEmployee - The -1 does not exist 
22:11:23.190 INFO  ServiceLayer - deleteEmployee - The deleteEmployee process failed - the dummy not exists on the system. 
22:11:23.190 INFO  ServiceLayer - The deleteEmployee process failed - the dummy , who initiated the operation, does not exist in the system 
22:11:23.195 INFO  CinemaSystem - deleteEmployee - A user cannot erase himself 
22:11:23.195 INFO  CinemaSystem - deleteEmployee - User does not have proper permissions 
22:11:24.208 INFO  CinemaSystem - removeCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.214 INFO  CinemaSystem - editCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.216 INFO  ServiceLayer- editCategory - The category doesn't exist 
22:11:24.216 INFO  ServiceLayer- editCategory - The user performing the operation does not exist in the system 
22:11:24.216 INFO  ServiceLayer- editCategory - The parent dummy does not exist 
22:11:24.218 INFO  ServiceLayer- addCategory - The user performing the operation does not exist in the system 
22:11:24.218 INFO  ServiceLayer- addCategory - The parent dummy does not exist 
22:11:24.221 INFO  InventoryManagemnt - addCategory - The parent category 0 doesn't exist 
22:11:24.221 INFO  InventoryManagemnt - addCategory - The Category 0 already exist 
22:11:24.222 INFO  InventoryManagemnt - editCategory - The parent category -3 doesn't exist 
22:11:24.222 INFO  InventoryManagemnt - editCategory - The Category -3 doesn't exist 
22:11:24.224 INFO  ServiceLayer- addCategory - The user performing the operation does not exist in the system 
22:11:24.224 INFO  ServiceLayer- addCategory - The parent Dairy does not exist 
22:11:24.225 INFO  ServiceLayer- editCategory - The category doesn't exist 
22:11:24.225 INFO  ServiceLayer- editCategory - The user performing the operation does not exist in the system 
22:11:24.225 INFO  ServiceLayer- editCategory - The parent dummy does not exist 
22:11:24.227 INFO  CinemaSystem - editCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.228 INFO  InventoryManagemnt - removeCategory - The Category -3 doesn't exist 
22:11:24.229 INFO  CinemaSystem - addCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.231 INFO  CinemaSystem - removeCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.232 INFO  ServiceLayer- editCategory - The category doesn't exist 
22:11:24.232 INFO  ServiceLayer- editCategory - The user performing the operation does not exist in the system 
22:11:24.233 INFO  CinemaSystem - addCategory - The operation cannot be completed - the user is not connected to the system 
22:11:24.235 INFO  ServiceLayer- editCategory - The category doesn't exist 
